column_name	data_type
id_chips	integer
id_ech	integer
id_machinem	integer
id_machinet	integer
o	numeric
na	numeric
mg	numeric
al	numeric
si	numeric
p	numeric
s	numeric
cl	numeric
k	numeric
ca	numeric
mn	numeric
fe	numeric
perte_feu	numeric
arsenic	numeric
ba	numeric
be	numeric
bi	numeric
cd	numeric
ce	numeric
co	numeric
cr	numeric
cs	numeric
cu	numeric
dy	numeric
er	numeric
eu	numeric
ga	numeric
gd	numeric
ge	numeric
hf	numeric
ho	numeric
indium	numeric
la	numeric
lu	numeric
mo	numeric
nb	numeric
nd	numeric
ni	numeric
pb	numeric
pd	numeric
pr	numeric
rb	numeric
sb	numeric
sc	numeric
sm	numeric
sn	numeric
sr	numeric
ta	numeric
tb	numeric
th	numeric
ti	numeric
tm	numeric
u	numeric
v	numeric
w	numeric
y	numeric
yb	numeric
zn	numeric
zr	numeric
os187_os188	numeric
open	boolean
delta57fe	numeric
delta56fe	numeric
id_machinei	integer
n_crpg	integer
bibreference	integer
os187_os186	numeric
os_ppt	numeric
ag	numeric
sr87_sr86	numeric
li	numeric
tl	numeric
ru	numeric
re	numeric
se	numeric
te	numeric
carbon	numeric
h	numeric
he	numeric
b	numeric
n	numeric
f	numeric
ar	numeric
br	numeric
kr	numeric
tc	numeric
rh	numeric
i	numeric
xe	numeric
ir	numeric
pt	numeric
au	numeric
hg	numeric
